"filename", "language", "Markdown", "Docker", "JSON with Comments", "JavaScript", "TypeScript React", "YAML", "JSON", "Ignore", "SCSS", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"e:\GitHub\Meally\src\common\components\modules\RecipeCard.tsx", "TypeScript React", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"e:\GitHub\Meally\src\common\components\modules\loader.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 9, 59
"e:\GitHub\Meally\src\common\components\modules\loader.tsx", "TypeScript React", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"e:\GitHub\Meally\src\common\components\seo\PageSEO.tsx", "TypeScript React", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"e:\GitHub\Meally\src\common\components\seo\RecipeSEO.tsx", "TypeScript React", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 3, 4, 62
"e:\GitHub\Meally\src\common\components\styles\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\GitHub\Meally\src\common\components\styles\Navbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 1, 20, 188
"e:\GitHub\Meally\src\common\components\styles\recipeCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"e:\GitHub\Meally\src\common\components\templates\Singup\Signup.tsx", "TypeScript React", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 21, 14, 214
"e:\GitHub\Meally\src\common\shared\jsons\CustomRecipes.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"e:\GitHub\Meally\src\common\shared\jsons\recipes.json", "JSON", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
"e:\GitHub\Meally\src\common\shared\jsons\turn_to_json.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
